stamp_sec,cx,cy,w,h,cx_ref,cy_ref,D0,transformX,transformY,transformZ
1760503438.0,158.5,596.5,173.0,173.0,360.0,480.0,300.0,-1.142,1.737,-3.939
1760503475.0,151.5,92.5,135.0,135.0,360.0,480.0,300.0,1.8399999999999999,2.239,-5.255
1760503512.0,455.5,501.5,149.0,149.0,360.0,480.0,300.0,-0.766,0.22100000000000009,-4.672
1760503551.0,828.0,504.0,150.0,150.0,360.0,480.0,300.0,-0.7730000000000001,-1.984,-4.623
1760503591.0,257.5,251.5,175.0,175.0,360.0,480.0,300.0,0.6309999999999998,1.2089999999999996,-3.8810000000000002
1760503631.0,764.5,193.5,391.0,387.0,360.0,480.0,300.0,4.25,5.61,1.042
1760503670.0,819.0,459.5,166.0,165.0,360.0,480.0,300.0,-0.4540000000000002,-1.746,-4.149
1760503709.0,132.0,498.0,138.0,138.0,360.0,480.0,300.0,-0.8069999999999999,2.311,-5.125
1760503744.0,590.0,365.0,138.0,138.0,360.0,480.0,300.0,0.051000000000000156,-0.633,-5.102
1760503781.0,558.5,294.5,161.0,161.0,360.0,480.0,300.0,0.44399999999999995,-0.35599999999999987,-4.285
1760503819.0,434.0,374.0,184.0,184.0,360.0,480.0,300.0,0.01200000000000001,0.2990000000000004,-3.641
1760503856.0,347.5,357.5,167.0,167.0,360.0,480.0,300.0,0.09299999999999997,0.7869999999999999,-4.12
1760503896.0,320.0,505.0,168.0,168.0,360.0,480.0,300.0,-0.69,0.9260000000000002,-4.088
1760503936.0,306.0,605.5,166.0,165.0,360.0,480.0,300.0,-1.242,1.013,-4.147
1760503976.0,949.5,5.5,14.0,14.0,360.0,480.0,300.0,1.8739999999999997,-2.442,-3.991
1760504016.0,510.0,428.5,152.0,153.0,360.0,480.0,300.0,-0.31800000000000006,-0.09799999999999986,-4.584
1760504053.0,173.0,321.0,188.0,188.0,360.0,480.0,300.0,0.2650000000000001,1.5330000000000004,-3.573
1760504095.0,358.0,535.5,148.0,149.0,360.0,480.0,300.0,-0.972,0.8070000000000004,-4.7379999999999995
1760504135.0,241.5,227.5,157.0,157.0,360.0,480.0,300.0,0.8279999999999998,1.4249999999999998,-4.3919999999999995
1760504173.0,214.0,5.884615182876587,14.0,13.999999523162842,360.0,480.0,300.0,1.657,0.931,-3.934
1760504211.0,319.5,564.0,163.0,164.0,360.0,480.0,300.0,-1.031,0.9489999999999998,-4.179
1760504251.0,761.5,95.0,133.0,134.0,360.0,480.0,300.0,1.8479999999999999,-1.798,-5.316
1760504286.0,16.0,9.0,32.0,18.0,360.0,480.0,300.0,1.7270000000000003,2.2430000000000003,-3.7
1760504328.0,224.0,222.0,140.0,140.0,360.0,480.0,300.0,0.956,1.6989999999999998,-5.02
1760504368.0,930.5,645.0,59.0,150.0,360.0,480.0,300.0,-0.262,2.1340000000000003,-3.791
1760504408.0,728.0,201.0,142.0,140.0,360.0,480.0,300.0,1.0830000000000002,-1.4860000000000002,-4.978
1760504446.0,286.0,226.0,186.0,186.0,360.0,480.0,300.0,0.7240000000000002,1.0069999999999997,-3.58
1760504486.0,828.5,595.5,161.0,161.0,360.0,480.0,300.0,-1.22,-1.846,-4.2490000000000006
1760504526.0,650.5,303.5,179.0,179.0,360.0,480.0,300.0,0.3599999999999999,-0.7709999999999999,-3.7889999999999997
1760504564.0,651.0,323.0,134.0,134.0,360.0,480.0,300.0,0.32699999999999996,-1.0539999999999998,-5.304
1760504602.0,819.5,641.0,151.0,150.0,360.0,480.0,300.0,-1.585,-1.9380000000000002,-4.629
1760504636.0,727.5,595.0,147.0,146.0,360.0,480.0,300.0,-1.349,-1.432,-4.796
1760504674.0,364.5,289.0,177.0,176.0,360.0,480.0,300.0,0.43999999999999995,0.6609999999999996,-3.84
1760504712.0,409.0,318.0,180.0,180.0,360.0,480.0,300.0,0.29000000000000004,0.42900000000000027,-3.791
1760504750.0,253.5,305.5,171.0,171.0,360.0,480.0,300.0,0.3620000000000001,1.2530000000000001,-3.9699999999999998
1760504790.0,6.678571462631226,458.0,16.000000476837158,16.0,360.0,480.0,300.0,-0.43699999999999983,2.4160000000000004,-3.576
1760504829.0,870.0,219.0,164.0,164.0,360.0,480.0,300.0,0.8460000000000001,-2.042,-4.211
1760504867.0,562.5,243.0,171.0,170.0,360.0,480.0,300.0,0.6909999999999998,-0.355,-4.013
1760504909.0,582.5,510.5,141.0,141.0,360.0,480.0,300.0,-0.8679999999999999,-0.573,-4.997
1760504949.0,206.0,367.0,134.0,134.0,360.0,480.0,300.0,0.03500000000000014,1.8890000000000002,-5.301
1760504989.0,703.5,411.5,139.0,139.0,360.0,480.0,300.0,-0.2469999999999999,-1.346,-5.051
1760505028.0,879.5,260.5,145.0,145.0,360.0,480.0,300.0,0.6909999999999998,-2.375,-4.848
1760505070.0,338.5,605.5,139.0,139.0,360.0,480.0,300.0,-1.49,0.9809999999999999,-5.092
1760505112.0,453.0,406.0,180.0,180.0,360.0,480.0,300.0,-0.1469999999999998,0.20999999999999996,-3.7569999999999997
1760505154.0,501.0,471.0,136.0,136.0,360.0,480.0,300.0,-0.6429999999999998,-0.06000000000000005,-5.208
1760505194.0,584.5,85.0,161.0,162.0,360.0,480.0,300.0,1.5940000000000003,-0.5,-4.265
1760505235.0,554.0,435.0,154.0,154.0,360.0,480.0,300.0,-0.3530000000000002,-0.3490000000000002,-4.516
1760505270.0,845.0,307.0,170.0,170.0,360.0,480.0,300.0,0.3599999999999999,-1.8410000000000002,-4.037
1760505314.0,559.0,587.0,138.0,138.0,360.0,480.0,300.0,-1.387,-0.43400000000000016,-5.154
1760505349.0,710.5,342.5,165.0,165.0,360.0,480.0,300.0,0.17600000000000016,-1.169,-4.1739999999999995
1760505389.0,490.0,489.5,140.0,139.0,360.0,480.0,300.0,-0.746,0.01100000000000012,-5.059
1760505429.0,906.5,5.961538314819336,14.0,14.0,360.0,480.0,300.0,1.9210000000000003,-2.2270000000000003,-4.01
1760505468.0,155.0,268.0,154.0,154.0,360.0,480.0,300.0,0.6099999999999999,1.9509999999999996,-4.511
1760505507.0,819.07763671875,70.72291564941406,126.0,126.0,360.0,480.0,300.0,1.6870000000000003,-1.8130000000000002,-4.3260000000000005
1760505542.0,140.5,575.5,139.0,139.0,360.0,480.0,300.0,-1.302,2.253,-5.081
1760505581.0,364.5,4.05555534362793,12.0,12.0,360.0,480.0,300.0,1.8760000000000003,0.2990000000000004,-4.479
1760505622.0,424.5,593.5,133.0,133.0,360.0,480.0,300.0,-1.475,0.4480000000000004,-5.324
1760505661.0,764.0,193.5,392.0,387.0,360.0,480.0,300.0,3.478,2.529,1.334
1760505700.0,3.0,518.0,10.0,10.0,360.0,480.0,300.0,-0.8159999999999998,2.1630000000000003,-3.601
1760505742.0,429.0,456.5,144.0,145.0,360.0,480.0,300.0,-0.5129999999999999,0.3899999999999997,-4.866
1760505777.0,439.0,343.0,176.0,176.0,360.0,480.0,300.0,0.16500000000000004,0.28300000000000036,-3.854
1760505816.0,928.5,641.5,63.0,157.0,360.0,480.0,300.0,1.7389999999999999,-1.6349999999999998,-3.5549999999999997
1760505856.0,707.5,379.5,183.0,183.0,360.0,480.0,300.0,-0.01399999999999979,-1.0299999999999998,-3.668
1760505891.0,382.0,357.0,152.0,152.0,360.0,480.0,300.0,0.09799999999999986,0.6509999999999998,-4.609
1760505926.0,709.0,401.5,180.0,179.0,360.0,480.0,300.0,-0.12400000000000011,-1.061,-3.7889999999999997
1760505966.0,545.0,595.0,144.0,144.0,360.0,480.0,300.0,-1.373,-0.32699999999999996,-4.902
1760506004.0,929.5,642.5,61.0,155.0,360.0,480.0,300.0,-1.358,1.33,-3.552
1760506044.0,763.5,193.0,393.0,386.0,360.0,480.0,300.0,4.062,6.204,1.53
1760506081.0,811.0,238.0,140.0,140.0,360.0,480.0,300.0,0.8540000000000001,-2.021,-5.05
1760506117.0,670.5,85.5,153.0,153.0,360.0,480.0,300.0,1.6719999999999997,-1.0299999999999998,-4.505
1760506157.0,402.0,440.0,132.0,132.0,360.0,480.0,300.0,-0.45500000000000007,0.5999999999999996,-5.344
1760506197.0,288.0,633.2265014648438,192.0,192.0,360.0,480.0,300.0,-1.363,0.4720000000000004,-3.52
1760506236.0,492.0,485.0,160.0,160.0,360.0,480.0,300.0,-0.6139999999999999,0.01100000000000012,-4.311
1760506276.0,480.5,142.5,137.0,137.0,360.0,480.0,300.0,1.4909999999999997,0.07599999999999962,-5.149
1760506316.0,539.0,371.0,134.0,134.0,360.0,480.0,300.0,0.007000000000000117,-0.31700000000000017,-5.283
1760506356.0,135.0,417.5,142.0,141.0,360.0,480.0,300.0,-0.28500000000000014,2.2510000000000003,-4.9879999999999995
1760506391.0,632.5,168.0,143.0,144.0,360.0,480.0,300.0,1.271,-0.8700000000000001,-4.913
1760506430.0,929.0,642.0,62.0,156.0,360.0,480.0,300.0,1.327,-2.02,-3.641
1760506470.0,610.5,546.0,139.0,140.0,360.0,480.0,300.0,-1.102,-0.7519999999999998,-5.057
1760506510.0,454.5,497.5,169.0,169.0,360.0,480.0,300.0,-0.6440000000000001,0.20999999999999996,-4.043
1760506550.0,535.5,337.5,159.0,159.0,360.0,480.0,300.0,0.20699999999999985,-0.23399999999999999,-4.322
1760506586.0,502.5,568.5,157.0,157.0,360.0,480.0,300.0,-1.105,-0.051000000000000156,-4.421
1760506623.0,219.0,346.0,136.0,136.0,360.0,480.0,300.0,0.17099999999999982,1.7839999999999998,-5.195
1760506662.0,180.0,218.0,134.0,134.0,360.0,480.0,300.0,1.0250000000000004,2.0700000000000003,-5.291
1760506702.0,403.5,511.5,137.0,137.0,360.0,480.0,300.0,-0.9049999999999998,0.5750000000000002,-5.161
1760506742.0,907.5,6.0,16.0,16.0,360.0,480.0,300.0,1.2430000000000003,-2.3449999999999998,-3.802
1760506781.0,806.0,596.0,178.0,178.0,360.0,480.0,300.0,-1.1,-1.5539999999999998,-3.799
1760506821.0,813.0,415.0,182.0,182.0,360.0,480.0,300.0,-0.18699999999999983,-1.552,-3.681
1760506858.0,290.22613525390625,633.1910400390625,166.0,166.0,360.0,480.0,300.0,-1.336,0.5339999999999998,-3.504
1760506898.0,876.0,542.0,168.0,166.0,360.0,480.0,300.0,-0.891,-2.037,-4.133
1760506938.0,800.5,623.5,167.0,167.0,360.0,480.0,300.0,-1.327,-1.638,-4.088
1760506972.0,435.0,393.0,160.0,160.0,360.0,480.0,300.0,-0.10199999999999987,0.3250000000000002,-4.322
1760507009.0,498.1903076171875,72.80967712402344,126.0,126.0,360.0,480.0,300.0,1.6820000000000004,-0.028000000000000025,-4.308
1760507044.0,799.5,315.5,145.0,145.0,360.0,480.0,300.0,0.355,-1.879,-4.839
1760507080.0,481.5,136.0,191.0,190.0,360.0,480.0,300.0,1.1289999999999996,0.06899999999999995,-3.505
1760507119.0,148.5,422.0,151.0,150.0,360.0,480.0,300.0,-0.28500000000000014,2.0380000000000003,-4.623
1760507161.0,236.5,528.5,149.0,149.0,360.0,480.0,300.0,-0.9239999999999999,1.5300000000000002,-4.668
1760507196.0,217.0,429.0,148.0,148.0,360.0,480.0,300.0,-0.33599999999999985,1.6559999999999997,-4.705
1760507233.0,729.0,399.0,140.0,140.0,360.0,480.0,300.0,-0.16400000000000015,-1.5,-5.027
1760507272.0,538.0,588.5,172.0,173.0,360.0,480.0,300.0,-1.101,-0.2250000000000001,-3.926
1760507314.0,816.5,276.5,187.0,187.0,360.0,480.0,300.0,0.48,-1.5259999999999998,-3.565
1760507350.0,401.0,545.0,140.0,140.0,360.0,480.0,300.0,-1.092,0.5800000000000001,-5.044
1760507391.0,497.5,3.5,10.0,10.0,360.0,480.0,300.0,1.9240000000000004,-0.21899999999999986,-4.023
1760507426.0,61.5,3.0,10.0,10.0,360.0,480.0,300.0,1.8550000000000004,1.859,-3.999
1760507461.0,641.3294067382812,71.57174682617188,138.0,138.0,360.0,480.0,300.0,1.5579999999999998,-0.754,-3.8890000000000002
1760507496.0,191.5,229.5,133.0,133.0,360.0,480.0,300.0,0.9500000000000002,2.0060000000000002,-5.329
1760507535.0,410.5,531.5,187.0,187.0,360.0,480.0,300.0,-0.7349999999999999,0.4059999999999997,-3.552
1760507572.0,176.0,610.0,180.0,180.0,360.0,480.0,300.0,-1.156,1.5780000000000003,-3.722
1760507609.0,530.0,484.0,158.0,158.0,360.0,480.0,300.0,-0.6150000000000002,-0.20400000000000018,-4.3420000000000005
1760507643.0,557.0,3.6111109256744385,12.0,11.999999523162842,360.0,480.0,300.0,1.7610000000000001,-0.56,-3.832
1760507678.0,794.5,92.0,185.0,184.0,360.0,480.0,300.0,1.3730000000000002,-1.436,-3.607
1760507716.0,341.5,353.5,163.0,163.0,360.0,480.0,300.0,0.11699999999999999,0.8300000000000001,-4.207
